2014-15 School Quality Report Results for High Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
02M533,Union Square Academy for Health Sciences,High School,319,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89%,81%,82%,75%,69%,83%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"April 23, 2015",2.42,2.35,10.3%,14.4%,0.6%,71.9%,8.5%,57.4%,16.0%,20.1%,56.7%,4.7%,3.0,24.0%,90.7%,28.0%,96.4%
02M534,Harvest Collegiate High School,High School,333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88%,95%,82%,98%,80%,93%,Developing,Developing,Proficient,Proficient,Proficient,"December 10, 2014",2.63,2.42,2.1%,24.3%,1.8%,51.1%,8.1%,36.0%,6.9%,22.2%,52.3%,16.8%,2.9,51.7%,90.9%,29.4%,97.4%
02M542,Manhattan Bridges High School,High School,529,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,92%,89%,94%,86%,79%,93%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"January 22, 2015",2.07,2.31,53.1%,2.3%,0.0%,82.0%,20.6%,63.5%,0.0%,0.0%,100.0%,0.0%,12.0,90.9%,92.0%,25.6%,97.1%
02M543,New Design High School,High School,441,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,Meeting Target,75%,84%,85%,76%,70%,92%,Proficient,Proficient,Well Developed,Well Developed,Well Developed,"April 16, 2015",2.34,2.16,5.4%,26.5%,4.8%,74.5%,14.5%,57.6%,5.9%,30.8%,56.9%,3.9%,12.0,74.3%,84.8%,41.7%,96.4%
02M545,High School for Dual Language and Asian Studies,High School,416,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Not Meeting Target,Meeting Target,Exceeding Target,90%,83%,90%,71%,64%,87%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"January 8, 2015",2.64,3.41,23.6%,1.9%,0.0%,72.3%,18.5%,56.5%,88.9%,3.1%,5.5%,1.7%,12.0,66.7%,98.2%,2.9%,99.3%
02M546,Academy for Software Engineering,High School,344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92%,97%,89%,98%,83%,96%,Proficient,Proficient,Proficient,Proficient,Proficient,"December 9, 2014",2.50,2.46,2.3%,23.8%,0.0%,61.5%,6.7%,44.2%,11.0%,28.8%,45.9%,9.0%,3.0,25.0%,92.5%,22.0%,97.9%
02M551,Urban Assembly New York Harbor School,High School,447,Approaching Target,Not Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Approaching Target,Meeting Target,81%,72%,79%,66%,79%,82%,Proficient,Developing,Developing,Proficient,Developing,"April 22, 2015",2.61,2.37,2.7%,21.9%,0.4%,55.6%,5.8%,39.1%,2.9%,23.7%,51.7%,18.8%,0.9,69.4%,90.3%,28.9%,96.7%
02M580,Richard R. Green High School of Teaching,High School,566,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,86%,90%,79%,87%,71%,90%,Proficient,Proficient,Developing,Proficient,Proficient,"January 22, 2015",2.30,2.17,5.1%,24.2%,3.4%,76.4%,11.7%,62.2%,6.2%,31.1%,58.8%,2.7%,2.6,82.5%,85.3%,42.7%,96.3%
02M600,The High School of Fashion Industries,High School,1770,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,89%,90%,84%,88%,71%,90%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"April 30, 2015",2.66,2.45,2.2%,13.9%,3.6%,65.7%,7.3%,49.9%,5.0%,36.3%,53.8%,3.8%,4.8,81.6%,93.7%,18.0%,95.3%
02M615,Chelsea Career and Technical Education High School,High School,439,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,86%,87%,84%,84%,74%,90%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"March 25, 2015",2.41,2.31,2.7%,19.1%,1.8%,73.4%,7.7%,59.7%,8.2%,28.9%,57.4%,3.2%,6.9,90.6%,88.4%,35.7%,96.0%
02M625,High School of Graphic Communication Arts,High School,336,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81%,69%,80%,58%,64%,77%,Developing,Developing,Proficient,Proficient,Proficient,"January 14, 2015",2.24,2.04,5.1%,24.4%,6.5%,72.7%,8.3%,57.7%,1.8%,33.9%,60.1%,2.1%,3.8,96.9%,66.4%,79.1%,94.5%
02M630,Art and Design High School,High School,1476,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,80%,76%,85%,66%,66%,82%,Developing,Developing,Proficient,Developing,Developing,"December 18, 2014",2.76,2.55,1.2%,16.7%,2.0%,55.4%,6.2%,39.2%,8.5%,24.1%,54.7%,10.8%,0.8,83.0%,91.1%,24.7%,96.5%
02M655,Life Sciences Secondary School,High School,697,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,90%,90%,77%,67%,65%,81%,Proficient,Proficient,Developing,Proficient,Developing,"December 5-6, 2013",2.38,2.28,7.0%,18.0%,5.3%,76.5%,10.6%,60.4%,4.3%,28.3%,62.2%,3.2%,0.5,73.9%,82.5%,52.9%,96.2%
03M283,Manhattan Theatre Lab High School,High School,53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94%,97%,84%,94%,81%,96%,N/A,N/A,N/A,N/A,N/A,,2.23,2.15,15.1%,34.0%,0.0%,78.7%,13.2%,60.4%,1.9%,37.7%,56.6%,3.8%,3.0,100.0%,82.5%,48.2%,96.6%
03M299,"High School for Arts, Imagination and Inquiry",High School,447,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,84%,75%,79%,69%,74%,86%,Proficient,Proficient,Proficient,Well Developed,Proficient,"February 27, 2015",2.25,2.12,12.8%,22.6%,4.0%,75.4%,14.1%,58.6%,0.4%,38.5%,58.8%,0.9%,10.0,63.0%,83.0%,48.2%,96.7%
03M307,"Urban Assembly School for Media Studies, The",High School,412,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,90%,88%,81%,87%,73%,87%,Proficient,Developing,Proficient,Proficient,Proficient,"November 14-15, 2013",2.25,2.13,9.5%,20.6%,0.2%,72.3%,8.3%,57.3%,1.9%,36.4%,57.8%,1.7%,6.4,65.4%,84.1%,55.1%,98.1%
03M402,The Urban Assembly School for Green Careers,High School,353,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,78%,87%,76%,85%,72%,82%,Proficient,Proficient,Proficient,Proficient,Proficient,"March 25-26, 2014",2.22,2.13,16.1%,26.3%,1.1%,79.3%,12.2%,64.9%,1.1%,23.2%,72.0%,2.8%,1.9,31.3%,84.2%,50.0%,96.8%
03M403,The Global Learning Collaborative,High School,496,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,Meeting Target,83%,73%,80%,76%,87%,81%,Proficient,Developing,Proficient,Proficient,Well Developed,"May 5, 2015",2.28,2.16,13.3%,23.8%,1.2%,76.6%,13.3%,61.9%,2.4%,25.0%,66.3%,5.4%,2.8,73.5%,87.2%,36.8%,96.5%
03M415,Wadleigh Secondary School for the Performing & Vis,High School,445,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,86%,77%,82%,71%,77%,82%,Developing,Developing,Proficient,Proficient,Proficient,"December 18, 2014",2.28,2.08,4.8%,22.1%,9.8%,79.1%,15.1%,63.1%,1.8%,52.0%,44.2%,1.0%,3.4,80.6%,78.2%,50.6%,96.8%
03M417,FRANK McCOURT HIGH SCHOOL,High School,387,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,92%,98%,86%,95%,80%,93%,Well Developed,Well Developed,Proficient,Proficient,Well Developed,"February 9, 2015",2.89,2.65,1.3%,17.6%,0.3%,44.4%,3.1%,31.3%,8.8%,15.8%,40.1%,31.8%,5.0,69.2%,93.8%,15.6%,97.0%
03M479,Beacon High School,High School,1285,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,88%,92%,92%,86%,75%,92%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"December 17, 2014",3.53,3.26,0.1%,5.8%,0.0%,27.8%,1.2%,15.6%,8.9%,13.7%,23.8%,51.8%,10.9,86.4%,96.4%,5.5%,98.2%
03M485,Fiorello H. LaGuardia High School of Music & Art a,High School,2635,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Exceeding Target,79%,70%,81%,52%,67%,71%,Proficient,Proficient,Proficient,Well Developed,Proficient,"March 31, 2015",3.58,3.35,0.0%,2.3%,0.0%,25.3%,0.9%,13.2%,19.4%,11.3%,19.4%,45.3%,1.8,91.9%,95.4%,9.3%,96.5%
03M492,"High School for Law, Advocacy and Community Justic",High School,510,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,90%,90%,78%,85%,72%,86%,Proficient,Well Developed,Well Developed,Proficient,Well Developed,"January 13, 2015",2.43,2.28,5.9%,16.3%,4.5%,75.4%,12.2%,59.6%,2.4%,42.0%,52.7%,2.2%,3.8,74.4%,84.5%,43.1%,96.6%
03M494,High School of Arts and Technology,High School,594,Not Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,N/A,N/A,Approaching Target,75%,64%,73%,51%,69%,73%,Developing,Developing,Developing,Developing,Developing,"November 21, 2014",2.25,2.17,10.6%,22.1%,4.7%,77.5%,15.5%,59.8%,3.9%,32.5%,59.3%,2.9%,12.9,85.7%,76.7%,63.9%,93.7%
03M541,Manhattan / Hunter Science High School,High School,451,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,87%,91%,90%,89%,68%,90%,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,"January 16, 2015",3.26,3.20,0.0%,9.3%,0.0%,48.3%,2.7%,31.3%,25.9%,16.4%,37.9%,13.1%,1.8,88.5%,97.6%,5.5%,95.6%
03M859,Special Music School,High School,231,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,96%,97%,91%,95%,91%,95%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"October 28, 2014",3.11,2.95,1.1%,14.1%,0.0%,25.3%,4.3%,17.4%,18.5%,21.7%,15.2%,29.3%,5.2,57.1%,96.0%,8.6%,97.9%
03M860,Frederick Douglass Academy II Secondary School,High School,411,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,76%,76%,81%,72%,76%,84%,Proficient,Developing,Proficient,Proficient,Well Developed,"November 14, 2014",2.14,2.02,8.0%,21.7%,0.0%,78.6%,13.0%,60.1%,2.2%,67.8%,26.3%,1.9%,4.9,40.0%,79.6%,58.9%,98.0%
04M372,ESPERANZA PREPARATORY ACADEMY,High School,507,Exceeding Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,N/A,87%,77%,84%,72%,77%,85%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"January 10- 11, 2013",2.15,2.15,41.8%,21.9%,8.9%,83.6%,25.3%,64.6%,1.3%,13.1%,83.1%,2.1%,0.1,43.6%,85.3%,51.0%,96.9%
04M409,Coalition School for Social Change,High School,283,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,84%,89%,83%,81%,75%,92%,Developing,Developing,Developing,Proficient,Developing,"April 22, 2015",2.12,2.03,9.9%,34.3%,2.5%,82.2%,12.4%,67.8%,4.2%,41.0%,50.2%,3.5%,3.8,90.9%,79.5%,59.1%,96.3%
04M435,Manhattan Center for Science and Mathematics,High School,1603,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,92%,92%,85%,83%,65%,86%,Proficient,Well Developed,Well Developed,Well Developed,Proficient,"May 5-7, 2014",3.05,3.14,3.4%,6.6%,0.1%,67.8%,6.1%,51.6%,19.2%,20.9%,54.1%,4.2%,8.0,77.8%,93.4%,18.1%,97.8%
04M495,Park East High School,High School,413,Approaching Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,88%,95%,91%,90%,73%,95%,Proficient,Developing,Developing,Well Developed,Proficient,"March 12, 2015",2.44,2.35,1.9%,14.8%,0.0%,74.9%,7.3%,59.6%,4.8%,27.6%,63.7%,1.7%,10.0,89.3%,91.8%,24.8%,97.6%
04M555,Central Park East High School,High School,466,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,87%,94%,91%,93%,73%,96%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"March 18, 2015",2.71,2.59,3.0%,13.7%,0.4%,74.2%,7.9%,58.4%,7.3%,24.5%,63.3%,3.9%,10.0,74.2%,94.3%,16.7%,98.1%
04M610,Young Women's Leadership School,High School,480,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,90%,97%,87%,92%,72%,94%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"April 29, 2015",2.85,2.80,0.9%,17.5%,0.0%,72.2%,7.4%,53.4%,8.9%,27.9%,57.4%,3.4%,8.0,62.1%,94.8%,16.3%,96.5%
04M680,"Heritage School, The",High School,322,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,84%,90%,73%,86%,76%,87%,Developing,Developing,Proficient,Proficient,Proficient,"April 17, 2015",2.20,2.06,5.9%,29.2%,0.0%,80.6%,14.0%,65.2%,1.2%,32.3%,63.7%,1.9%,3.6,68.0%,82.7%,52.2%,92.3%
05M157,The Urban Assembly School for Global Commerce,High School,164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84%,96%,82%,93%,88%,94%,Proficient,Developing,Proficient,Proficient,Proficient,"February 25, 2015",2.22,2.07,9.1%,27.4%,2.4%,81.7%,16.5%,68.3%,2.4%,43.9%,49.4%,1.2%,2.0,26.7%,89.1%,35.5%,97.2%
05M304,Mott Hall High School,High School,428,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,78%,81%,81%,72%,83%,85%,Developing,Developing,Proficient,Proficient,Proficient,"November 12, 2014",2.22,2.15,11.2%,23.6%,2.8%,80.5%,9.6%,65.7%,0.9%,38.3%,59.1%,0.7%,4.8,72.7%,86.8%,41.2%,96.0%
05M362,Columbia Secondary School,High School,659,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,87%,92%,88%,90%,84%,93%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"November 21, 2014",3.45,3.00,0.0%,3.2%,0.0%,50.7%,3.2%,35.2%,13.7%,22.0%,48.1%,14.8%,3.9,66.7%,95.7%,13.1%,97.2%
05M367,Academy for Social Action: A College Board School,High School,234,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,85%,94%,74%,88%,81%,89%,Proficient,Developing,Proficient,Proficient,Proficient,"April 28-29, 2014",2.07,1.96,18.9%,27.6%,6.5%,79.7%,17.1%,60.4%,0.5%,46.5%,49.3%,2.8%,4.6,61.1%,70.9%,68.1%,93.8%
05M369,Urban Assembly School for the Performing Arts,High School,358,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,80%,87%,83%,86%,72%,90%,Proficient,Developing,Proficient,Proficient,Proficient,"March 25, 2015",2.22,2.11,4.7%,20.7%,1.1%,77.5%,12.6%,63.4%,0.8%,52.2%,43.0%,1.4%,0.9,56.5%,81.0%,62.8%,96.7%
05M469,Choir Academy of Harlem,High School,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81%,88%,79%,89%,91%,93%,Developing,Developing,Developing,Proficient,Proficient,"January 7, 2015",2.34,2.11,0.0%,20.0%,0.0%,83.2%,20.0%,60.0%,0.0%,78.0%,20.0%,2.0%,0.8,100.0%,68.2%,80.0%,97.0%
05M499,Frederick Douglass Academy,High School,1428,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,89%,86%,79%,75%,78%,85%,Proficient,Developing,Proficient,Well Developed,Proficient,"April 28-29, 2014",2.51,2.46,1.8%,10.3%,1.0%,70.8%,9.5%,50.5%,1.7%,70.4%,23.2%,1.4%,3.7,84.3%,89.1%,30.5%,95.7%
05M670,Thurgood Marshall Academy for Learning and Social,High School,561,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,79%,90%,79%,82%,74%,91%,Proficient,Developing,Proficient,Proficient,Proficient,"March 19-20, 2014",2.46,2.31,1.8%,17.6%,0.3%,73.2%,6.3%,57.2%,1.3%,77.6%,19.6%,0.8%,4.0,86.8%,92.4%,20.6%,95.0%
05M685,Bread & Roses Integrated Arts High School,High School,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88%,85%,81%,81%,87%,88%,Developing,Developing,Developing,Developing,Developing,"November 12, 2014",2.03,1.96,15.0%,37.0%,19.0%,81.2%,11.0%,68.0%,0.0%,52.0%,48.0%,0.0%,4.4,85.7%,75.2%,70.5%,94.7%
05M692,"High School for Mathematics, Science and Engineeri",High School,470,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,93%,90%,90%,89%,75%,90%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"January 8, 2015",3.70,3.83,0.2%,3.8%,0.4%,39.7%,3.2%,25.1%,38.5%,9.6%,21.7%,26.8%,3.7,96.9%,96.4%,8.5%,98.1%
06M211,Inwood Early College for Health and Information Te,High School,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91%,92%,89%,96%,79%,95%,Proficient,Developing,Developing,Proficient,Developing,"May 15, 2015",2.58,2.61,8.0%,13.8%,0.0%,70.8%,6.9%,57.5%,4.6%,21.8%,67.8%,3.4%,1.0,71.4%,91.9%,23.6%,98.5%
06M293,City College Academy of the Arts,High School,587,Approaching Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Exceeding Target,85%,79%,88%,67%,71%,84%,Proficient,Developing,Developing,Proficient,Proficient,"November 25, 2014",2.82,2.92,2.3%,13.2%,0.0%,70.8%,5.6%,49.9%,0.9%,3.8%,94.1%,1.2%,10.0,87.8%,94.3%,16.3%,97.8%
06M346,Community Health Academy of the Heights,High School,629,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,87%,95%,89%,91%,80%,95%,Proficient,Developing,Proficient,Proficient,Well Developed,"April 30, 2015",2.22,2.10,21.9%,20.8%,1.6%,85.0%,14.5%,68.8%,0.0%,4.9%,91.8%,2.7%,4.1,68.0%,81.2%,50.6%,97.3%
06M348,Washington Heights Expeditionary Learning School,High School,705,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,83%,87%,89%,76%,79%,92%,Proficient,Proficient,Proficient,Well Developed,Well Developed,"March 18, 2015",2.36,2.51,14.7%,23.2%,0.3%,84.0%,13.1%,68.9%,0.3%,3.8%,94.8%,0.5%,9.0,83.9%,85.5%,43.6%,96.0%
06M462,The College Academy,High School,491,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,84%,90%,81%,81%,78%,90%,Proficient,Proficient,Proficient,Proficient,Proficient,"November 19, 2014",2.05,2.05,44.4%,21.0%,4.3%,83.8%,16.9%,69.0%,0.2%,9.0%,89.2%,0.6%,4.3,86.2%,85.2%,44.5%,95.9%
06M463,High School for Media and Communications,High School,479,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,76%,78%,81%,68%,79%,85%,Proficient,Developing,Proficient,Proficient,Proficient,"October 29-30, 2013",2.18,2.09,33.8%,19.8%,3.5%,83.2%,19.0%,67.2%,1.9%,13.8%,82.5%,1.3%,7.0,78.6%,82.6%,49.0%,95.5%
06M467,High School for Law and Public Service,High School,671,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,87%,86%,81%,84%,88%,91%,Proficient,Developing,Proficient,Proficient,Proficient,"December 4, 2014",2.22,2.12,27.4%,20.7%,8.0%,79.9%,14.2%,63.5%,0.4%,16.8%,80.8%,1.6%,15.8,92.7%,87.6%,38.4%,95.8%
06M468,High School for Health Careers and Sciences,High School,605,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Approaching Target,80%,74%,81%,67%,89%,83%,Proficient,Developing,Developing,Proficient,Proficient,"February 11, 2015",2.20,2.12,30.7%,18.2%,0.2%,83.8%,20.5%,65.3%,1.3%,15.9%,79.8%,1.5%,2.4,67.6%,85.7%,44.5%,96.0%
06M540,A. Philip Randolph Campus High School,High School,1354,Meeting Target,Meeting Target,N/A,Meeting Target,Meeting Target,Meeting Target,Approaching Target,85%,84%,86%,81%,76%,88%,Proficient,Developing,Proficient,Proficient,Proficient,"April 16, 2015",2.50,2.37,6.9%,14.1%,3.3%,77.2%,10.3%,61.9%,4.9%,32.0%,59.7%,1.7%,3.6,78.3%,86.1%,39.6%,95.4%
06M552,Gregorio Luperon High School for Science and Mathe,High School,504,Approaching Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,94%,93%,92%,91%,82%,96%,Developing,Developing,Developing,Well Developed,Proficient,"May 1, 2015",1.76,2.03,83.3%,1.6%,0.0%,82.3%,31.0%,55.8%,0.0%,0.0%,100.0%,0.0%,15.4,90.0%,91.4%,24.1%,96.7%
07X221,South Bronx Preparatory: A College Board School,High School,654,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,89%,92%,89%,87%,74%,91%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"January 14, 2015",2.34,2.21,2.8%,21.2%,0.3%,87.2%,9.6%,70.0%,1.7%,25.2%,70.3%,1.4%,8.0,61.7%,89.6%,35.7%,97.0%
07X223,M.S. 223 The Laboratory School of Finance and Tech,High School,502,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Approaching Target,Approaching Target,N/A,84%,76%,85%,71%,75%,82%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"December 17-18, 2013",2.50,2.50,6.1%,20.1%,0.0%,86.6%,4.2%,73.4%,0.0%,20.6%,78.5%,0.9%,12.0,50.0%,93.6%,19.8%,96.8%
07X259,"H.E.R.O. High (Health, Education, and Research Occ",High School,231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83%,89%,75%,90%,81%,89%,Proficient,Proficient,Proficient,Proficient,Proficient,"May 11, 2015",2.25,2.13,11.3%,17.7%,0.9%,81.7%,12.6%,65.4%,2.2%,35.5%,58.9%,1.7%,2.0,31.3%,84.3%,50.6%,95.7%
07X334,International Community High School,High School,463,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,90%,96%,88%,93%,85%,97%,Developing,Proficient,Proficient,Proficient,Proficient,"March 17, 2014",1.73,1.91,86.0%,3.2%,0.4%,79.0%,24.8%,49.7%,6.5%,14.0%,76.7%,1.3%,8.5,71.4%,83.4%,42.9%,97.8%
07X427,Community School for Social Justice,High School,324,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,88%,92%,92%,93%,87%,96%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"April 14, 2015",2.15,2.09,9.9%,25.0%,1.5%,84.1%,15.1%,68.5%,1.5%,29.6%,67.3%,1.2%,12.9,66.7%,79.4%,61.4%,96.9%
07X473,Mott Haven Village Preparatory High School,High School,364,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,80%,79%,85%,72%,80%,86%,Developing,Developing,Developing,Proficient,Proficient,"February 6, 2015",2.15,2.08,9.6%,21.7%,0.3%,82.4%,11.3%,66.5%,0.3%,25.3%,73.6%,0.5%,2.3,65.4%,79.9%,57.4%,96.6%
07X495,University Heights Secondary School,High School,486,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,94%,92%,88%,89%,80%,92%,Proficient,Proficient,Proficient,Well Developed,Proficient,"March 19, 2015",2.73,2.64,2.1%,8.2%,0.4%,80.5%,7.2%,66.0%,3.1%,30.0%,64.6%,1.6%,5.8,85.0%,92.7%,22.7%,96.8%
07X500,Hostos-Lincoln Academy of Science,High School,544,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,83%,79%,76%,71%,77%,86%,Proficient,Developing,Proficient,Proficient,Developing,"May 15, 2015",2.64,2.58,2.9%,16.7%,0.6%,79.9%,7.9%,59.4%,3.8%,22.5%,69.9%,1.5%,10.9,80.6%,91.5%,24.0%,93.8%
07X520,Foreign Language Academy of Global Studies,High School,145,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,84%,77%,77%,69%,69%,81%,Developing,Developing,Developing,Developing,Proficient,"May 14, 2015",2.06,1.94,21.4%,31.7%,15.9%,86.0%,15.2%,69.7%,2.8%,26.9%,67.6%,1.4%,0.9,92.3%,79.4%,60.9%,96.0%
07X522,Bronx Design and Construction Academy,High School,563,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Not Meeting Target,86%,94%,82%,92%,77%,94%,Proficient,Developing,Proficient,Well Developed,Proficient,"March 19-20, 2014",2.20,2.19,14.2%,25.2%,3.9%,82.4%,9.6%,68.0%,1.4%,24.0%,70.5%,3.4%,0.8,58.5%,81.4%,56.9%,97.3%
07X527,Bronx Leadership Academy II High School,High School,495,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,71%,87%,89%,84%,75%,94%,Proficient,Proficient,Proficient,Well Developed,Well Developed,"February 12, 2015",2.13,2.12,13.9%,26.7%,3.4%,83.1%,10.9%,68.9%,2.2%,32.3%,63.4%,0.8%,4.9,56.8%,85.4%,46.3%,96.8%
