2014-15 School Quality Report Results for High Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
02M296,High School of Hospitality Management,High School,424,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,88%,92%,85%,91%,73%,91%,Proficient,Proficient,Proficient,Proficient,Well Developed,"February 11, 2015",2.31,2.25,7.8%,17.5%,2.8%,75.1%,9.0%,58.5%,5.0%,21.0%,71.2%,1.7%,2.8,85.7%,84.8%,42.8%,97.3%
02M298,Pace High School,High School,423,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,91%,89%,88%,87%,71%,91%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"April 16, 2015",2.60,2.47,1.2%,11.6%,0.2%,66.5%,5.7%,51.1%,13.7%,28.1%,45.4%,1.9%,11.0,100.0%,92.7%,20.3%,97.0%
02M300,"Urban Assembly School of Design and Construction,",High School,414,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,87%,91%,84%,91%,79%,93%,Proficient,Proficient,Proficient,Proficient,Proficient,"December 17-18, 2013",2.24,2.24,6.3%,20.8%,1.7%,72.6%,11.4%,56.3%,6.0%,29.5%,59.2%,3.4%,6.9,53.6%,83.0%,50.2%,96.3%
02M303,"Facing History School, The",High School,406,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,88%,91%,90%,90%,78%,94%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"March 13, 2015",2.17,2.09,19.5%,25.1%,0.2%,81.1%,13.1%,66.5%,1.7%,27.3%,67.5%,2.2%,3.9,66.7%,83.0%,49.2%,95.2%
02M305,"Urban Assembly Academy of Government and Law, The",High School,329,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,84%,89%,80%,85%,72%,91%,Proficient,Developing,Proficient,Proficient,Proficient,"March 26, 2015",2.35,2.22,3.3%,18.8%,0.3%,74.9%,14.6%,60.8%,5.8%,41.9%,49.2%,2.7%,1.0,39.1%,85.9%,44.8%,97.7%
02M308,Lower Manhattan Arts Academy,High School,383,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,84%,87%,79%,91%,75%,91%,Proficient,Proficient,Proficient,Well Developed,Proficient,"November 18, 2014",2.38,2.22,4.2%,30.0%,2.6%,69.5%,9.7%,53.5%,8.6%,28.2%,56.9%,3.1%,10.0,73.9%,89.7%,31.1%,96.9%
02M316,"Urban Assembly School of Business for Young Women,",High School,405,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,86%,92%,80%,86%,70%,87%,Developing,Developing,Developing,Proficient,Proficient,"November 13, 2014",2.30,2.19,4.4%,18.5%,0.2%,73.6%,10.1%,57.8%,3.5%,52.8%,39.3%,2.2%,10.0,31.8%,79.9%,54.5%,97.4%
02M374,Gramercy Arts High School,High School,530,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,87%,86%,76%,75%,65%,85%,Developing,Proficient,Proficient,Developing,Proficient,"May 6, 2015",2.49,2.25,2.1%,17.5%,0.6%,66.2%,8.3%,47.9%,3.6%,42.5%,44.2%,5.8%,1.0,81.1%,86.5%,42.0%,96.9%
02M376,NYC iSchool,High School,442,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,90%,94%,92%,93%,79%,96%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"March 17, 2014",3.12,2.81,0.2%,12.9%,0.7%,42.2%,3.6%,29.0%,8.6%,19.9%,39.8%,28.7%,2.8,93.1%,94.0%,19.3%,98.0%
02M392,MANHATTAN BUSINESS ACADEMY,High School,438,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,81%,81%,82%,84%,70%,83%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"March 3, 2015",2.34,2.26,5.5%,18.3%,0.5%,71.5%,7.5%,55.3%,3.4%,28.1%,62.1%,3.9%,6.0,71.0%,85.6%,43.6%,97.2%
