2014-15 School Quality Report Results for High Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
02M282,Urban Assembly Maker Academy,High School,103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.78,0.94,0.84,0.91,0.81,0.93,Proficient,Developing,Proficient,Developing,Developing,"April 29, 2015",2.72,2.62,0.039,0.058,0.010,0.616,0.068,0.437,0.107,0.243,0.456,0.097,1,0.33,0.91,0.32,0.95
02M288,Food and Finance High School,High School,427,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Meeting Target,0.90,0.88,0.81,0.84,0.63,0.88,Well Developed,Well Developed,Proficient,Well Developed,Proficient,"March 4, 2015",2.47,2.36,0.030,0.157,0.000,0.687,0.087,0.525,0.047,0.396,0.522,0.030,11,0.77,0.89,0.41,0.96
02M294,Essex Street Academy,High School,358,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.91,0.98,0.88,0.97,0.79,0.96,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"March 3-4, 2014",2.48,2.25,0.042,0.260,0.003,0.633,0.056,0.461,0.059,0.385,0.413,0.117,4.9,0.84,0.86,0.32,0.97
02M296,High School of Hospitality Management,High School,424,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.88,0.92,0.85,0.91,0.73,0.91,Proficient,Proficient,Proficient,Proficient,Well Developed,"February 11, 2015",2.31,2.25,0.078,0.175,0.028,0.751,0.090,0.585,0.050,0.210,0.712,0.017,2.8,0.86,0.85,0.43,0.97
02M298,Pace High School,High School,423,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.91,0.89,0.88,0.87,0.71,0.91,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"April 16, 2015",2.6,2.47,0.012,0.116,0.002,0.665,0.057,0.511,0.137,0.281,0.454,0.019,11,1.00,0.93,0.20,0.97
02M300,"Urban Assembly School of Design and Construction,",High School,414,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.87,0.91,0.84,0.91,0.79,0.93,Proficient,Proficient,Proficient,Proficient,Proficient,"December 17-18, 2013",2.24,2.24,0.063,0.208,0.017,0.726,0.114,0.563,0.060,0.295,0.592,0.034,6.9,0.54,0.83,0.50,0.96
02M303,"Facing History School, The",High School,406,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.88,0.91,0.90,0.90,0.78,0.94,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"March 13, 2015",2.17,2.09,0.195,0.251,0.002,0.811,0.131,0.665,0.017,0.273,0.675,0.022,3.9,0.67,0.83,0.49,0.95
02M305,"Urban Assembly Academy of Government and Law, The",High School,329,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.84,0.89,0.80,0.85,0.72,0.91,Proficient,Developing,Proficient,Proficient,Proficient,"March 26, 2015",2.35,2.22,0.033,0.188,0.003,0.749,0.146,0.608,0.058,0.419,0.492,0.027,1,0.39,0.86,0.45,0.98
02M308,Lower Manhattan Arts Academy,High School,383,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.84,0.87,0.79,0.91,0.75,0.91,Proficient,Proficient,Proficient,Well Developed,Proficient,"November 18, 2014",2.38,2.22,0.042,0.300,0.026,0.695,0.097,0.535,0.086,0.282,0.569,0.031,10,0.74,0.90,0.31,0.97
02M316,"Urban Assembly School of Business for Young Women,",High School,405,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.86,0.92,0.80,0.86,0.70,0.87,Developing,Developing,Developing,Proficient,Proficient,"November 13, 2014",2.3,2.19,0.044,0.185,0.002,0.736,0.101,0.578,0.035,0.528,0.393,0.022,10,0.32,0.80,0.55,0.97
02M374,Gramercy Arts High School,High School,530,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,0.87,0.86,0.76,0.75,0.65,0.85,Developing,Proficient,Proficient,Developing,Proficient,"May 6, 2015",2.49,2.25,0.021,0.175,0.006,0.662,0.083,0.479,0.036,0.425,0.442,0.058,1,0.81,0.87,0.42,0.97
02M376,NYC iSchool,High School,442,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.90,0.94,0.92,0.93,0.79,0.96,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"March 17, 2014",3.12,2.81,0.002,0.129,0.007,0.422,0.036,0.290,0.086,0.199,0.398,0.287,2.8,0.93,0.94,0.19,0.98
02M392,MANHATTAN BUSINESS ACADEMY,High School,438,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,0.81,0.81,0.82,0.84,0.70,0.83,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"March 3, 2015",2.34,2.26,0.055,0.183,0.005,0.715,0.075,0.553,0.034,0.281,0.621,0.039,6,0.71,0.86,0.44,0.97
02M393,BUSINESS OF SPORTS SCHOOL,High School,449,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.73,0.77,0.85,0.79,0.79,0.86,Well Developed,Proficient,Well Developed,Proficient,Proficient,"January 22, 2015",2.22,2.16,0.073,0.223,0.000,0.714,0.114,0.546,0.022,0.354,0.595,0.016,6,0.54,0.85,0.48,0.97
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,High School,437,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.85,0.87,0.80,0.84,0.67,0.89,Proficient,Proficient,Proficient,Proficient,Proficient,"April 30, 2014",2.44,2.4,0.121,0.174,0.002,0.703,0.130,0.533,0.311,0.204,0.403,0.057,1.9,0.48,0.87,0.38,0.98
02M400,High School for Environmental Studies,High School,1301,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.84,0.85,0.84,0.76,0.68,0.87,Proficient,Proficient,Proficient,Proficient,Proficient,"October 22-23, 2013",2.6,2.55,0.071,0.166,0.049,0.690,0.058,0.547,0.151,0.147,0.629,0.066,14.4,0.83,0.89,0.30,0.97
02M407,Institute for Collaborative Education,High School,482,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.94,0.98,0.90,0.98,0.89,0.96,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"March 19 - 20, 2013",2.87,2.38,0.000,0.062,0.000,0.258,0.036,0.130,0.058,0.141,0.149,0.565,3.4,0.70,0.92,0.20,0.98
02M408,Professional Performing Arts High School,High School,536,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.90,0.86,0.84,0.85,0.75,0.91,Proficient,Proficient,Proficient,Proficient,Proficient,"December 17-18, 2013",3.05,2.71,0.002,0.126,0.005,0.330,0.079,0.151,0.025,0.262,0.223,0.429,10,0.83,0.94,0.13,0.97
02M411,Baruch College Campus High School,High School,451,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,0.91,0.94,0.90,0.92,0.70,0.95,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"April 30, 2015",3.26,3.29,0.002,0.100,0.002,0.459,0.040,0.333,0.548,0.062,0.149,0.228,11.2,0.69,0.98,0.04,0.96
02M412,N.Y.C. Lab School for Collaborative Studies,High School,587,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.86,0.91,0.89,0.89,0.79,0.94,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"January 7, 2015",3.28,3.17,0.002,0.150,0.000,0.325,0.037,0.206,0.276,0.060,0.155,0.460,8.8,0.81,0.94,0.15,0.96
02M413,School of the Future High School,High School,713,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.88,0.96,0.88,0.91,0.76,0.92,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"December 16, 2014",3.05,2.77,0.005,0.148,0.000,0.358,0.062,0.218,0.144,0.117,0.304,0.359,7.9,0.85,0.94,0.16,0.97
02M414,N.Y.C. Museum School,High School,471,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,Exceeding Target,0.86,0.79,0.84,0.60,0.64,0.81,Proficient,Proficient,Proficient,Well Developed,Proficient,"May 18, 2015",3.18,3.13,0.006,0.076,0.000,0.593,0.032,0.444,0.342,0.127,0.397,0.121,10,0.96,0.95,0.15,0.95
02M416,Eleanor Roosevelt High School,High School,541,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,0.89,0.80,0.92,0.75,0.76,0.86,Proficient,Well Developed,Proficient,Well Developed,Developing,"November 20, 2014",3.61,3.61,0.000,0.059,0.000,0.204,0.011,0.113,0.201,0.044,0.109,0.614,7,0.94,0.97,0.07,0.98
02M418,Millennium High School,High School,659,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.87,0.88,0.89,0.82,0.71,0.89,Proficient,Proficient,Developing,Proficient,Proficient,"December 3, 2014",3.37,3.22,0.005,0.094,0.005,0.402,0.036,0.270,0.384,0.076,0.182,0.328,3,0.82,0.96,0.07,0.97
02M419,Landmark High School,High School,355,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.84,0.88,0.83,0.86,0.78,0.92,Proficient,Proficient,Proficient,Proficient,Proficient,"April 16, 2015",2.23,2.07,0.104,0.245,0.006,0.804,0.099,0.687,0.037,0.242,0.685,0.017,3,0.68,0.82,0.53,0.97
02M420,High School for Health Professions and Human Servi,High School,1664,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.87,0.87,0.87,0.83,0.69,0.91,Proficient,Proficient,Proficient,Proficient,Well Developed,April 7-8 2014,2.71,2.61,0.043,0.124,0.004,0.670,0.056,0.521,0.224,0.189,0.509,0.073,5.8,0.76,0.92,0.22,0.97
02M422,Quest to Learn,High School,564,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,N/A,0.83,0.79,0.82,0.74,0.80,0.86,Proficient,Proficient,Developing,Proficient,Proficient,"January 14, 2015",2.56,2.27,0.030,0.362,0.011,0.406,0.128,0.313,0.087,0.219,0.415,0.242,0.9,0.45,0.89,0.34,0.97
02M425,Leadership and Public Service High School,High School,699,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.86,0.81,0.83,0.84,0.75,0.89,Proficient,Proficient,Proficient,Well Developed,Proficient,"April 2-3, 2014",2.33,2.18,0.067,0.203,0.043,0.751,0.089,0.597,0.039,0.279,0.619,0.044,4,0.73,0.79,0.58,0.97
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,High School,334,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.90,0.94,0.83,0.89,0.78,0.92,Proficient,Proficient,Proficient,Proficient,Proficient,"December 16, 2014",1.83,2.07,0.784,0.033,0.003,0.750,0.263,0.449,0.024,0.048,0.913,0.015,5,0.54,0.85,0.44,0.97
02M429,Legacy School for Integrated Studies,High School,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.87,0.87,0.68,0.87,0.78,0.88,N/A,N/A,N/A,N/A,N/A,,2.19,2.03,0.000,0.474,0.000,0.729,0.000,0.632,0.000,0.368,0.632,0.000,2.9,1.00,0.83,0.55,0.96
02M437,Hudson High School of Learning Technologies,High School,483,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,0.85,0.92,0.82,0.93,0.75,0.92,Proficient,Proficient,Proficient,Proficient,Well Developed,"February 24, 2015",2.28,2.23,0.087,0.222,0.004,0.754,0.143,0.594,0.064,0.292,0.594,0.033,5,0.54,0.83,0.51,0.97
02M438,International High School at Union Square,High School,353,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.89,0.91,0.85,0.88,0.79,0.91,Developing,Developing,Developing,Proficient,Proficient,"March 4, 2015",1.76,2.17,0.864,0.048,0.000,0.742,0.385,0.448,0.306,0.142,0.453,0.099,1,0.76,0.84,0.40,0.97
02M439,Manhattan Village Academy,High School,415,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.88,0.87,0.90,0.85,0.80,0.87,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"December 9, 2014",2.68,2.78,0.027,0.113,0.000,0.596,0.036,0.436,0.072,0.096,0.672,0.072,15.8,0.59,0.98,0.01,0.98
02M449,Vanguard High School,High School,486,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.88,0.98,0.89,0.97,0.75,0.96,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,"May 12, 2015",2.35,2.21,0.078,0.218,0.012,0.685,0.068,0.527,0.076,0.274,0.570,0.047,3.8,0.90,0.87,0.43,0.97
02M459,Manhattan International High School,High School,343,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.81,0.78,0.90,0.77,0.77,0.87,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"April 1, 2015",1.87,2.26,0.767,0.041,0.006,0.681,0.184,0.464,0.294,0.166,0.411,0.122,2.8,0.91,0.90,0.30,0.97
02M460,Washington Irving High School,High School,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.90,0.83,0.88,0.70,0.78,0.85,N/A,N/A,N/A,N/A,N/A,,2.16,2.04,0.172,0.343,0.152,0.713,0.061,0.566,0.030,0.333,0.566,0.071,3,1.00,0.73,0.73,0.97
02M475,Stuyvesant High School,High School,3296,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.84,0.80,0.87,0.77,0.70,0.87,Well Developed,Proficient,Proficient,Well Developed,Proficient,"April 23, 2015",4.01,4.17,0.001,0.005,0.000,0.316,0.019,0.182,0.734,0.008,0.026,0.204,2.9,0.91,0.97,0.08,0.96
02M489,High School of Economics and Finance,High School,796,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.86,0.82,0.83,0.80,0.68,0.85,Well Developed,Proficient,Proficient,Proficient,Proficient,"November 20-21, 2013",2.55,2.55,0.060,0.143,0.023,0.668,0.072,0.523,0.217,0.229,0.471,0.072,7.9,0.88,0.89,0.30,0.96
02M500,Unity Center for Urban Technologies,High School,284,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.86,0.80,0.88,0.73,0.85,0.87,Proficient,Developing,Proficient,Proficient,Proficient,"May 6, 2015",2.25,2.15,0.067,0.239,0.007,0.771,0.077,0.609,0.060,0.275,0.588,0.049,7.9,0.62,0.86,0.34,0.96
02M507,Urban Assembly Gateway School for Technology,High School,472,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.82,0.93,0.85,0.89,0.77,0.95,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"March 20, 2014",2.49,2.4,0.021,0.191,0.006,0.636,0.085,0.462,0.078,0.303,0.538,0.057,4,0.38,0.90,0.33,0.97
02M519,Talent Unlimited High School,High School,506,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.93,0.95,0.84,0.89,0.75,0.92,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"January 14 – 15, 2013",3,2.66,0.002,0.087,0.000,0.459,0.042,0.312,0.049,0.334,0.399,0.204,6.9,0.83,0.93,0.18,0.98
02M520,Murry Bergtraum High School for Business Careers,High School,971,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,N/A,N/A,Approaching Target,0.84,0.71,0.73,0.56,0.68,0.75,Developing,Developing,Developing,Proficient,Developing,"February 11, 2015",2.33,2.18,0.107,0.203,0.067,0.711,0.122,0.536,0.089,0.461,0.407,0.030,0.9,0.77,0.73,0.65,0.97
02M529,Jacqueline Kennedy Onassis High School,High School,676,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.83,0.82,0.79,0.69,0.74,0.80,Developing,Developing,Proficient,Proficient,Proficient,"November 19, 2014",2.29,2.16,0.059,0.186,0.024,0.771,0.093,0.620,0.040,0.213,0.701,0.036,11,0.74,0.80,0.55,0.96
02M531,Repertory Company High School for Theatre Arts,High School,246,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.92,0.95,0.90,0.95,0.73,0.94,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"March 6, 2015",2.71,2.46,0.037,0.126,0.000,0.624,0.081,0.459,0.016,0.374,0.504,0.085,2.3,0.54,0.93,0.26,0.98
02M533,Union Square Academy for Health Sciences,High School,319,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.89,0.81,0.82,0.75,0.69,0.83,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"April 23, 2015",2.42,2.35,0.103,0.144,0.006,0.719,0.085,0.574,0.160,0.201,0.567,0.047,3,0.24,0.91,0.28,0.96
02M534,Harvest Collegiate High School,High School,333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88,0.95,0.82,0.98,0.80,0.93,Developing,Developing,Proficient,Proficient,Proficient,"December 10, 2014",2.63,2.42,0.021,0.243,0.018,0.511,0.081,0.360,0.069,0.222,0.523,0.168,2.9,0.52,0.91,0.29,0.97
02M542,Manhattan Bridges High School,High School,529,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.92,0.89,0.94,0.86,0.79,0.93,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"January 22, 2015",2.07,2.31,0.531,0.023,0.000,0.820,0.206,0.635,0.000,0.000,1.000,0.000,12,0.91,0.92,0.26,0.97
02M543,New Design High School,High School,441,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,Meeting Target,0.75,0.84,0.85,0.76,0.70,0.92,Proficient,Proficient,Well Developed,Well Developed,Well Developed,"April 16, 2015",2.34,2.16,0.054,0.265,0.048,0.745,0.145,0.576,0.059,0.308,0.569,0.039,12,0.74,0.85,0.42,0.96
02M545,High School for Dual Language and Asian Studies,High School,416,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Not Meeting Target,Meeting Target,Exceeding Target,0.90,0.83,0.90,0.71,0.64,0.87,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"January 8, 2015",2.64,3.41,0.236,0.019,0.000,0.723,0.185,0.565,0.889,0.031,0.055,0.017,12,0.67,0.98,0.03,0.99
02M546,Academy for Software Engineering,High School,344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.92,0.97,0.89,0.98,0.83,0.96,Proficient,Proficient,Proficient,Proficient,Proficient,"December 9, 2014",2.5,2.46,0.023,0.238,0.000,0.615,0.067,0.442,0.110,0.288,0.459,0.090,3,0.25,0.93,0.22,0.98
02M551,Urban Assembly New York Harbor School,High School,447,Approaching Target,Not Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Approaching Target,Meeting Target,0.81,0.72,0.79,0.66,0.79,0.82,Proficient,Developing,Developing,Proficient,Developing,"April 22, 2015",2.61,2.37,0.027,0.219,0.004,0.556,0.058,0.391,0.029,0.237,0.517,0.188,0.9,0.69,0.90,0.29,0.97
02M580,Richard R. Green High School of Teaching,High School,566,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.86,0.90,0.79,0.87,0.71,0.90,Proficient,Proficient,Developing,Proficient,Proficient,"January 22, 2015",2.3,2.17,0.051,0.242,0.034,0.764,0.117,0.622,0.062,0.311,0.588,0.027,2.6,0.83,0.85,0.43,0.96
02M600,The High School of Fashion Industries,High School,1770,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.89,0.90,0.84,0.88,0.71,0.90,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"April 30, 2015",2.66,2.45,0.022,0.139,0.036,0.657,0.073,0.499,0.050,0.363,0.538,0.038,4.8,0.82,0.94,0.18,0.95
02M615,Chelsea Career and Technical Education High School,High School,439,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.86,0.87,0.84,0.84,0.74,0.90,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"March 25, 2015",2.41,2.31,0.027,0.191,0.018,0.734,0.077,0.597,0.082,0.289,0.574,0.032,6.9,0.91,0.88,0.36,0.96
02M625,High School of Graphic Communication Arts,High School,336,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.81,0.69,0.80,0.58,0.64,0.77,Developing,Developing,Proficient,Proficient,Proficient,"January 14, 2015",2.24,2.04,0.051,0.244,0.065,0.727,0.083,0.577,0.018,0.339,0.601,0.021,3.8,0.97,0.66,0.79,0.95
