,DBN,School Name,total_stud,grad_rate,ELL,Former ELL,Not ELL,Not SWD,SWD,Asian,Black,Hispanic,Multi-Racial,Native American,White,Female,Male,Econ Disadv,Not Econ Disadv,prob_ELL,prob_Former ELL,prob_Not ELL,prob_Not SWD,prob_SWD,prob_Asian,prob_Black,prob_Hispanic,prob_Multi-Racial,prob_Native American,prob_White,prob_Female,prob_Male,prob_Econ Disadv,prob_Not Econ Disadv
17,02M298,Pace High School,110,0.8909090909090909,1.0,1.0,108.0,93.0,17.0,25.0,22.0,49.0,8.0,,6.0,59.0,51.0,83.0,27.0,0.01,0.01,0.98,0.85,0.15,0.23,0.2,0.45,0.07,,0.05,0.54,0.46,0.75,0.25
18,02M300,"Urban Assembly School of Design and Construction, The",86,0.7209302325581395,3.0,7.0,76.0,69.0,17.0,1.0,20.0,58.0,5.0,,2.0,33.0,53.0,71.0,15.0,0.03,0.08,0.88,0.8,0.2,0.01,0.23,0.67,0.06,,0.02,0.38,0.62,0.83,0.17
19,02M303,"Facing History School, The",106,0.7264150943396226,16.0,7.0,83.0,80.0,26.0,2.0,31.0,71.0,1.0,,1.0,51.0,55.0,90.0,16.0,0.15,0.07,0.78,0.75,0.25,0.02,0.29,0.67,0.01,,0.01,0.48,0.52,0.85,0.15
20,02M305,"Urban Assembly Academy of Government and Law, The",59,0.8135593220338984,2.0,3.0,54.0,42.0,17.0,2.0,26.0,29.0,,,2.0,30.0,29.0,55.0,4.0,0.03,0.05,0.92,0.71,0.29,0.03,0.44,0.49,,,0.03,0.51,0.49,0.93,0.07
21,02M308,Lower Manhattan Arts Academy,78,0.8333333333333334,,2.0,76.0,51.0,27.0,7.0,21.0,43.0,4.0,1.0,2.0,54.0,24.0,59.0,19.0,,0.03,0.97,0.65,0.35,0.09,0.27,0.55,0.05,0.01,0.03,0.69,0.31,0.76,0.24
22,02M313,"James Baldwin School, The: A School for Expeditionary Learning",127,0.33858267716535434,6.0,1.0,120.0,88.0,39.0,3.0,52.0,66.0,,,6.0,67.0,60.0,112.0,15.0,0.05,0.01,0.94,0.69,0.31,0.02,0.41,0.52,,,0.05,0.53,0.47,0.88,0.12
23,02M316,"Urban Assembly School of Business for Young Women, the",63,0.6984126984126984,1.0,,62.0,55.0,8.0,1.0,35.0,22.0,3.0,1.0,1.0,63.0,,50.0,13.0,0.02,,0.98,0.87,0.13,0.02,0.56,0.35,0.05,0.02,0.02,1.0,,0.79,0.21
24,02M374,Gramercy Arts High School,113,0.8053097345132744,,6.0,107.0,94.0,19.0,5.0,45.0,51.0,5.0,,7.0,83.0,30.0,95.0,18.0,,0.05,0.95,0.83,0.17,0.04,0.4,0.45,0.04,,0.06,0.73,0.27,0.84,0.16
25,02M376,NYC iSchool,112,0.9910714285714286,1.0,,111.0,101.0,11.0,8.0,25.0,40.0,3.0,1.0,35.0,71.0,41.0,55.0,57.0,0.01,,0.99,0.9,0.1,0.07,0.22,0.36,0.03,0.01,0.31,0.63,0.37,0.49,0.51
26,02M392,MANHATTAN BUSINESS ACADEMY,96,0.8645833333333334,5.0,4.0,87.0,75.0,21.0,4.0,22.0,65.0,2.0,,3.0,39.0,57.0,87.0,9.0,0.05,0.04,0.91,0.78,0.22,0.04,0.23,0.68,0.02,,0.03,0.41,0.59,0.91,0.09
27,02M393,Business Of Sports School,91,0.8021978021978022,2.0,4.0,85.0,68.0,23.0,2.0,24.0,63.0,,1.0,1.0,30.0,61.0,70.0,21.0,0.02,0.04,0.93,0.75,0.25,0.02,0.26,0.69,,0.01,0.01,0.33,0.67,0.77,0.23
28,02M394,Emma Lazarus High School,99,0.6161616161616161,59.0,19.0,21.0,99.0,,57.0,12.0,20.0,,,10.0,50.0,49.0,86.0,13.0,0.6,0.19,0.21,1.0,,0.58,0.12,0.2,,,0.1,0.51,0.49,0.87,0.13
29,02M399,The High School For Language And Diplomacy,119,0.8319327731092437,11.0,12.0,96.0,102.0,17.0,40.0,21.0,51.0,1.0,1.0,5.0,73.0,46.0,100.0,19.0,0.09,0.1,0.81,0.86,0.14,0.34,0.18,0.43,0.01,0.01,0.04,0.61,0.39,0.84,0.16
30,02M400,High School for Environmental Studies,294,0.8333333333333334,16.0,16.0,262.0,245.0,49.0,42.0,38.0,188.0,4.0,,22.0,165.0,129.0,245.0,49.0,0.05,0.05,0.89,0.83,0.17,0.14,0.13,0.64,0.01,,0.07,0.56,0.44,0.83,0.17
31,02M407,Institute for Collaborative Education,69,0.9710144927536232,,,69.0,68.0,1.0,6.0,10.0,7.0,3.0,1.0,42.0,31.0,38.0,15.0,54.0,,,1.0,0.99,0.01,0.09,0.14,0.1,0.04,0.01,0.61,0.45,0.55,0.22,0.78
32,02M408,Professional Performing Arts High School,124,0.9354838709677419,1.0,2.0,121.0,96.0,28.0,6.0,29.0,30.0,2.0,,57.0,91.0,33.0,58.0,66.0,0.01,0.02,0.98,0.77,0.23,0.05,0.23,0.24,0.02,,0.46,0.73,0.27,0.47,0.53
33,02M411,Baruch College Campus High School,117,0.9914529914529915,,3.0,114.0,98.0,19.0,57.0,10.0,14.0,2.0,1.0,33.0,82.0,35.0,54.0,63.0,,0.03,0.97,0.84,0.16,0.49,0.09,0.12,0.02,0.01,0.28,0.7,0.3,0.46,0.54
34,02M412,N.Y.C. Lab School for Collaborative Studies,124,1.0,,1.0,123.0,108.0,16.0,26.0,6.0,16.0,10.0,,66.0,63.0,61.0,39.0,85.0,,0.01,0.99,0.87,0.13,0.21,0.05,0.13,0.08,,0.53,0.51,0.49,0.31,0.69
35,02M413,School of the Future High School,101,0.9702970297029703,,2.0,99.0,87.0,14.0,14.0,14.0,27.0,5.0,,41.0,52.0,49.0,41.0,60.0,,0.02,0.98,0.86,0.14,0.14,0.14,0.27,0.05,,0.41,0.51,0.49,0.41,0.59
36,02M414,N.Y.C. Museum School,114,0.9824561403508771,,5.0,109.0,99.0,15.0,46.0,13.0,34.0,3.0,,18.0,60.0,54.0,78.0,36.0,,0.04,0.96,0.87,0.13,0.4,0.11,0.3,0.03,,0.16,0.53,0.47,0.68,0.32
37,02M416,Eleanor Roosevelt High School,143,1.0,,,143.0,126.0,17.0,31.0,7.0,18.0,2.0,,85.0,84.0,59.0,44.0,99.0,,,1.0,0.88,0.12,0.22,0.05,0.13,0.01,,0.59,0.59,0.41,0.31,0.69
38,02M418,Millennium High School,174,0.9942528735632183,,2.0,172.0,151.0,23.0,67.0,11.0,36.0,5.0,,55.0,102.0,72.0,71.0,103.0,,0.01,0.99,0.87,0.13,0.39,0.06,0.21,0.03,,0.32,0.59,0.41,0.41,0.59
39,02M419,Landmark High School,67,0.7611940298507462,2.0,3.0,62.0,52.0,15.0,4.0,21.0,39.0,1.0,,2.0,34.0,33.0,59.0,8.0,0.03,0.04,0.93,0.78,0.22,0.06,0.31,0.58,0.01,,0.03,0.51,0.49,0.88,0.12
40,02M420,High School for Health Professions and Human Services,403,0.9081885856079405,5.0,18.0,380.0,362.0,41.0,94.0,62.0,206.0,1.0,5.0,35.0,296.0,107.0,315.0,88.0,0.01,0.04,0.94,0.9,0.1,0.23,0.15,0.51,0.0,0.01,0.09,0.73,0.27,0.78,0.22
41,02M422,Quest to Learn,79,0.7974683544303798,,6.0,73.0,49.0,30.0,5.0,22.0,26.0,4.0,1.0,21.0,22.0,57.0,44.0,35.0,,0.08,0.92,0.62,0.38,0.06,0.28,0.33,0.05,0.01,0.27,0.28,0.72,0.56,0.44
42,02M425,Leadership and Public Service High School,111,0.7657657657657657,6.0,5.0,100.0,86.0,25.0,3.0,35.0,66.0,1.0,,6.0,73.0,38.0,87.0,24.0,0.05,0.05,0.9,0.77,0.23,0.03,0.32,0.59,0.01,,0.05,0.66,0.34,0.78,0.22
43,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,67,0.7761194029850746,18.0,30.0,19.0,63.0,4.0,2.0,2.0,62.0,,,1.0,32.0,35.0,65.0,2.0,0.27,0.45,0.28,0.94,0.06,0.03,0.03,0.93,,,0.01,0.48,0.52,0.97,0.03
44,02M432,Murray Hill Academy,67,0.6865671641791045,,1.0,66.0,46.0,21.0,5.0,25.0,33.0,1.0,,3.0,35.0,32.0,52.0,15.0,,0.01,0.99,0.69,0.31,0.07,0.37,0.49,0.01,,0.04,0.52,0.48,0.78,0.22
45,02M437,Hudson High School of Learning Technologies,109,0.6972477064220184,7.0,7.0,95.0,85.0,24.0,5.0,32.0,60.0,2.0,2.0,8.0,24.0,85.0,95.0,14.0,0.06,0.06,0.87,0.78,0.22,0.05,0.29,0.55,0.02,0.02,0.07,0.22,0.78,0.87,0.13
46,02M438,International High School at Union Square,69,0.7246376811594203,42.0,22.0,5.0,68.0,1.0,14.0,9.0,40.0,,,6.0,39.0,30.0,54.0,15.0,0.61,0.32,0.07,0.99,0.01,0.2,0.13,0.58,,,0.09,0.57,0.43,0.78,0.22
47,02M439,Manhattan Village Academy,125,1.0,,10.0,115.0,111.0,14.0,11.0,14.0,91.0,,,9.0,77.0,48.0,92.0,33.0,,0.08,0.92,0.89,0.11,0.09,0.11,0.73,,,0.07,0.62,0.38,0.74,0.26
48,02M449,Vanguard High School,122,0.7950819672131147,6.0,5.0,111.0,98.0,24.0,4.0,41.0,73.0,1.0,1.0,2.0,66.0,56.0,97.0,25.0,0.05,0.04,0.91,0.8,0.2,0.03,0.34,0.6,0.01,0.01,0.02,0.54,0.46,0.8,0.2
49,02M459,Manhattan International High School,73,0.7671232876712328,27.0,33.0,13.0,70.0,3.0,13.0,13.0,39.0,,,8.0,37.0,36.0,58.0,15.0,0.37,0.45,0.18,0.96,0.04,0.18,0.18,0.53,,,0.11,0.51,0.49,0.79,0.21
50,02M475,Stuyvesant High School,823,0.9866342648845686,,3.0,820.0,820.0,3.0,627.0,1.0,24.0,35.0,1.0,135.0,353.0,470.0,377.0,446.0,,0.0,1.0,1.0,0.0,0.76,0.0,0.03,0.04,0.0,0.16,0.43,0.57,0.46,0.54
51,02M489,High School of Economics and Finance,171,0.8830409356725146,3.0,13.0,155.0,142.0,29.0,37.0,44.0,76.0,2.0,2.0,10.0,73.0,98.0,131.0,40.0,0.02,0.08,0.91,0.83,0.17,0.22,0.26,0.44,0.01,0.01,0.06,0.43,0.57,0.77,0.23
52,02M500,Unity Center for Urban Technologies,66,0.9090909090909091,3.0,3.0,60.0,47.0,19.0,,21.0,42.0,1.0,,2.0,20.0,46.0,56.0,10.0,0.05,0.05,0.91,0.71,0.29,,0.32,0.64,0.02,,0.03,0.3,0.7,0.85,0.15
53,02M507,Urban Assembly Gateway School for Technology,100,0.93,2.0,5.0,93.0,80.0,20.0,9.0,24.0,58.0,2.0,,7.0,25.0,75.0,57.0,43.0,0.02,0.05,0.93,0.8,0.2,0.09,0.24,0.58,0.02,,0.07,0.25,0.75,0.57,0.43
54,02M519,Talent Unlimited High School,115,0.9826086956521739,,,115.0,101.0,14.0,6.0,34.0,54.0,2.0,,19.0,94.0,21.0,57.0,58.0,,,1.0,0.88,0.12,0.05,0.3,0.47,0.02,,0.17,0.82,0.18,0.5,0.5
55,02M520,Murry Bergtraum High School for Business Careers,79,0.7341772151898734,5.0,5.0,69.0,64.0,15.0,9.0,43.0,22.0,,1.0,4.0,39.0,40.0,63.0,16.0,0.06,0.06,0.87,0.81,0.19,0.11,0.54,0.28,,0.01,0.05,0.49,0.51,0.8,0.2
56,02M529,Jacqueline Kennedy Onassis High School,136,0.6323529411764706,7.0,7.0,122.0,109.0,27.0,8.0,31.0,90.0,2.0,2.0,3.0,82.0,54.0,110.0,26.0,0.05,0.05,0.9,0.8,0.2,0.06,0.23,0.66,0.01,0.01,0.02,0.6,0.4,0.81,0.19
57,02M531,Repertory Company High School for Theatre Arts,65,0.9846153846153847,,6.0,59.0,54.0,11.0,2.0,26.0,31.0,1.0,,5.0,53.0,12.0,50.0,15.0,,0.09,0.91,0.83,0.17,0.03,0.4,0.48,0.02,,0.08,0.82,0.18,0.77,0.23
58,02M533,Union Square Academy for Health Sciences,90,0.8444444444444444,4.0,6.0,80.0,75.0,15.0,14.0,13.0,57.0,1.0,1.0,4.0,72.0,18.0,78.0,12.0,0.04,0.07,0.89,0.83,0.17,0.16,0.14,0.63,0.01,0.01,0.04,0.8,0.2,0.87,0.13
59,02M534,Harvest Collegiate High School,118,0.864406779661017,1.0,1.0,116.0,88.0,30.0,9.0,35.0,45.0,4.0,,25.0,68.0,50.0,67.0,51.0,0.01,0.01,0.98,0.75,0.25,0.08,0.3,0.38,0.03,,0.21,0.58,0.42,0.57,0.43
60,02M542,Manhattan Bridges High School,122,0.9672131147540983,16.0,60.0,46.0,122.0,,,,122.0,,,,63.0,59.0,99.0,23.0,0.13,0.49,0.38,1.0,,,,1.0,,,,0.52,0.48,0.81,0.19
61,02M543,New Design High School,95,0.8421052631578947,1.0,10.0,84.0,65.0,30.0,8.0,33.0,46.0,4.0,,4.0,58.0,37.0,75.0,20.0,0.01,0.11,0.88,0.68,0.32,0.08,0.35,0.48,0.04,,0.04,0.61,0.39,0.79,0.21
62,02M544,Independence High School,126,0.12698412698412698,10.0,1.0,115.0,102.0,24.0,1.0,45.0,70.0,,,10.0,71.0,55.0,114.0,12.0,0.08,0.01,0.91,0.81,0.19,0.01,0.36,0.56,,,0.08,0.56,0.44,0.9,0.1
63,02M545,High School for Dual Language and Asian Studies,99,0.98989898989899,,32.0,67.0,98.0,1.0,87.0,3.0,5.0,3.0,,1.0,67.0,32.0,88.0,11.0,,0.32,0.68,0.99,0.01,0.88,0.03,0.05,0.03,,0.01,0.68,0.32,0.89,0.11
64,02M546,Academy for Software Engineering,113,0.8672566371681416,3.0,5.0,105.0,84.0,29.0,7.0,31.0,65.0,4.0,1.0,5.0,22.0,91.0,81.0,32.0,0.03,0.04,0.93,0.74,0.26,0.06,0.27,0.58,0.04,0.01,0.04,0.19,0.81,0.72,0.28
65,02M550,Liberty High School Academy for Newcomers,196,0.3877551020408163,135.0,29.0,32.0,188.0,8.0,14.0,45.0,120.0,,2.0,15.0,76.0,120.0,112.0,84.0,0.69,0.15,0.16,0.96,0.04,0.07,0.23,0.61,,0.01,0.08,0.39,0.61,0.57,0.43
66,02M551,Urban Assembly New York Harbor School,99,0.8585858585858586,,4.0,95.0,77.0,22.0,5.0,16.0,38.0,6.0,,34.0,35.0,64.0,50.0,49.0,,0.04,0.96,0.78,0.22,0.05,0.16,0.38,0.06,,0.34,0.35,0.65,0.51,0.49
67,02M560,High School M560 - City As School,226,0.42920353982300885,10.0,5.0,211.0,172.0,54.0,12.0,88.0,80.0,6.0,2.0,38.0,136.0,90.0,133.0,93.0,0.04,0.02,0.93,0.76,0.24,0.05,0.39,0.35,0.03,0.01,0.17,0.6,0.4,0.59,0.41
68,02M565,Urban Academy Laboratory High School,54,0.46296296296296297,,1.0,53.0,47.0,7.0,1.0,15.0,24.0,,,14.0,37.0,17.0,33.0,21.0,,0.02,0.98,0.87,0.13,0.02,0.28,0.44,,,0.26,0.69,0.31,0.61,0.39
69,02M570,Satellite Academy High School,99,0.0707070707070707,3.0,2.0,94.0,76.0,23.0,,37.0,58.0,,2.0,2.0,61.0,38.0,84.0,15.0,0.03,0.02,0.95,0.77,0.23,,0.37,0.59,,0.02,0.02,0.62,0.38,0.85,0.15
70,02M575,Manhattan Comprehensive Night and Day High School,279,0.27956989247311825,151.0,20.0,108.0,255.0,24.0,73.0,74.0,113.0,1.0,3.0,15.0,118.0,161.0,245.0,34.0,0.54,0.07,0.39,0.91,0.09,0.26,0.27,0.41,0.0,0.01,0.05,0.42,0.58,0.88,0.12
71,02M580,Richard R. Green High School of Teaching,117,0.7521367521367521,,5.0,112.0,97.0,20.0,8.0,31.0,72.0,3.0,1.0,2.0,77.0,40.0,100.0,17.0,,0.04,0.96,0.83,0.17,0.07,0.26,0.62,0.03,0.01,0.02,0.66,0.34,0.85,0.15
72,02M586,Harvey Milk High School,36,0.2222222222222222,,1.0,35.0,20.0,16.0,,10.0,23.0,,,3.0,22.0,14.0,31.0,5.0,,0.03,0.97,0.56,0.44,,0.28,0.64,,,0.08,0.61,0.39,0.86,0.14
73,02M600,The High School of Fashion Industries,382,0.9502617801047121,6.0,16.0,360.0,327.0,55.0,29.0,140.0,196.0,3.0,1.0,13.0,356.0,26.0,319.0,63.0,0.02,0.04,0.94,0.86,0.14,0.08,0.37,0.51,0.01,0.0,0.03,0.93,0.07,0.84,0.16
74,02M605,Humanities Preparatory Academy,55,0.8909090909090909,,3.0,52.0,52.0,3.0,5.0,15.0,29.0,,,6.0,33.0,22.0,42.0,13.0,,0.05,0.95,0.95,0.05,0.09,0.27,0.53,,,0.11,0.6,0.4,0.76,0.24
75,02M615,Chelsea Career and Technical Education High School,94,0.8085106382978723,2.0,3.0,89.0,79.0,15.0,14.0,19.0,51.0,4.0,1.0,5.0,23.0,71.0,88.0,6.0,0.02,0.03,0.95,0.84,0.16,0.15,0.2,0.54,0.04,0.01,0.05,0.24,0.76,0.94,0.06
